variant,accuracy,precision,recall,f1,auc_roc
Baseline (checkpoint),0.9996,1.0,0.9898,0.9949,1.0
Ablation1: LeakyReLU (baseline),0.9993,0.9898,0.9898,0.9898,1.0
Ablation1: ReLU,1.0,1.0,1.0,1.0,1.0
Ablation1: ELU,1.0,1.0,1.0,1.0,1.0
Ablation1: Tanh,1.0,1.0,1.0,1.0,1.0
"Ablation2: Narrower  [3, 2, 2]",0.9996,0.9899,1.0,0.9949,1.0
"Ablation2: Narrow  [4, 3, 2]",1.0,1.0,1.0,1.0,1.0
"Ablation2: Baseline [8, 6, 3]",0.9996,0.9899,1.0,0.9949,1.0
Ablation3: MaxPool 2×2 (baseline),0.9996,0.9899,1.0,0.9949,1.0
Ablation3: AvgPool 2×2,1.0,1.0,1.0,1.0,1.0
Ablation3: MaxPool 4×4 (more aggressive),0.9996,1.0,0.9898,0.9949,1.0
"Ablation4: No weighting  [1, 1]",0.9993,1.0,0.9796,0.9897,1.0
"Ablation4: Light        [1, 10]",0.9996,1.0,0.9898,0.9949,1.0
"Ablation4: Medium       [1, 25]",1.0,1.0,1.0,1.0,1.0
"Ablation4: Baseline     [1, 50]",0.9996,0.9899,1.0,0.9949,1.0
"Ablation4: Heavy       [1, 100]",0.9996,0.9899,1.0,0.9949,1.0
Ablation5: FC hidden = 10 (baseline),0.9996,0.9899,1.0,0.9949,1.0
Ablation5: FC hidden = 32,1.0,1.0,1.0,1.0,1.0
Ablation5: FC hidden = 64,1.0,1.0,1.0,1.0,1.0
Ablation5: FC hidden = 128,1.0,1.0,1.0,1.0,1.0
