STITCH 1,STITCH 2
CID000002802,CID000003639
CID000000937,CID000002250
CID000005038,CID000027661
CID000005038,CID000006691
CID000000937,CID000027661
CID000003639,CID000004927
CID000000937,CID000002244
CID000006691,CID000027661
CID000000937,CID000006691
CID000000937,CID000003440
CID000000937,CID000005038
CID000002802,CID000004927
CID000002802,CID000003559
CID000003203,CID000003877
CID000005073,CID000034312
CID000003203,CID000005155
CID000004158,CID000034312
CID000002554,CID000004158
CID000005039,CID000005372
CID000005077,CID000005203
CID000002554,CID000034312
CID000001775,CID000002554
CID000003877,CID000005155
CID000002554,CID000005073
CID000004158,CID000005073
CID000004200,CID000005538
CID000004943,CID000071616
CID000003793,CID000004943
CID000003793,CID000041693
CID000002786,CID000004200
CID000002786,CID000003255
CID000004171,CID000104865
CID000003825,CID000005206
CID000000853,CID000004542
CID000003255,CID000004200
CID000005206,CID000036339
CID000003255,CID000005538
CID000003825,CID000004943
CID000002764,CID000004943
CID000004943,CID000036339
CID000004943,CID000047320
CID000003793,CID000005206
CID000002786,CID000005538
CID000003825,CID000047320
CID000003825,CID000041693
CID000002764,CID000041693
CID000004679,CID000104865
CID000003559,CID000005656
CID000004585,CID000005656
CID000003365,CID000004543
CID000004171,CID000004873
CID000000298,CID000002269
CID000005038,CID000054454
CID000002803,CID000004112
CID000003890,CID005311027
CID000004171,CID000005203
CID000003749,CID000004171
CID000002803,CID000004171
CID000003310,CID000004543
CID000003310,CID000003446
CID000002435,CID000119607
CID000002803,CID000004873
CID000002907,CID000003446
CID000002803,CID000005203
CID000002269,CID000003255
CID000004112,CID000004171
CID000002907,CID000003365
CID000002435,CID000003890
CID000003310,CID000003365
CID000002803,CID000003405
CID000005203,CID000006691
CID000003403,CID000003476
CID000003826,CID000005090
CID000005203,CID000005523
CID000004409,CID000005090
CID000003222,CID000003440
CID000004829,CID000041774
CID000002658,CID000005090
CID000005090,CID000005203
CID000003826,CID000004091
CID000004091,CID000005523
CID000004409,CID000005523
CID000003826,CID000006691
CID000003826,CID000005203
CID000004091,CID000005090
CID000003222,CID000065999
CID000003672,CID000005090
CID000004091,CID000006691
CID000004409,CID000006691
CID000005090,CID000006691
CID000004091,CID000004409
CID000005090,CID000005523
CID000004409,CID000005203
CID000005523,CID000006691
CID000004091,CID000005203
CID000002088,CID000003348
CID000000444,CID000005064
CID000005544,CID000005650
CID000002083,CID000005650
CID000002250,CID000032797
CID000003348,CID000005544
CID000005650,CID000032797
CID000002088,CID000004112
CID000005732,CID000093860
CID000004112,CID000032797
CID000002088,CID000005544
CID000002088,CID000003405
CID000003348,CID000005650
CID000002088,CID000005029
CID000002083,CID000003405
CID000005732,CID000083786
CID000002088,CID000032797
CID000003348,CID000003405
CID000004679,CID000005544
