row_id,itemid,label,fluid,category,loinc_code
1,50800,SPECIMEN TYPE,BLOOD,BLOOD GAS,
2,50801,Alveolar-arterial Gradient,Blood,Blood Gas,19991-9
3,50802,Base Excess,Blood,Blood Gas,11555-0
4,50803,"Calculated Bicarbonate, Whole Blood",Blood,Blood Gas,1959-6
5,50804,Calculated Total CO2,Blood,Blood Gas,34728-6
6,50805,Carboxyhemoglobin,Blood,Blood Gas,20563-3
7,50806,"Chloride, Whole Blood",Blood,Blood Gas,2069-3
8,50807,Comments,Blood,Blood Gas,
9,50808,Free Calcium,Blood,Blood Gas,1994-3
10,50809,Glucose,Blood,Blood Gas,2339-0
11,50810,"Hematocrit, Calculated",Blood,Blood Gas,20570-8
12,50811,Hemoglobin,Blood,Blood Gas,718-7
13,50812,Intubated,Blood,Blood Gas,
14,50813,Lactate,Blood,Blood Gas,32693-4
15,50814,Methemoglobin,Blood,Blood Gas,2614-6
16,50815,O2 Flow,Blood,Blood Gas,3151-8
17,50816,Oxygen,Blood,Blood Gas,19994-3
18,50817,Oxygen Saturation,Blood,Blood Gas,20564-1
19,50818,pCO2,Blood,Blood Gas,11557-6
20,50819,PEEP,Blood,Blood Gas,20077-4
21,50820,pH,Blood,Blood Gas,11558-4
22,50821,pO2,Blood,Blood Gas,11556-8
23,50822,"Potassium, Whole Blood",Blood,Blood Gas,6298-4
24,50823,Required O2,Blood,Blood Gas,
25,50824,"Sodium, Whole Blood",Blood,Blood Gas,2947-0
26,50825,Temperature,Blood,Blood Gas,
27,50826,Tidal Volume,Blood,Blood Gas,20112-9
28,50827,Ventilation Rate,Blood,Blood Gas,
29,50828,Ventilator,Blood,Blood Gas,
30,50829,Fluid Type,Other Body Fluid,Blood Gas,14725-6
31,50830,"pCO2, Body Fluid",Other Body Fluid,Blood Gas,2023-0
32,50831,pH,Other Body Fluid,Blood Gas,2748-2
33,50832,"pO2, Body Fluid",Other Body Fluid,Blood Gas,2706-0
34,50833,Potassium,Other Body Fluid,Blood Gas,2821-7
35,50834,"Sodium, Body Fluid",Other Body Fluid,Blood Gas,2950-4
36,50835,"Albumin, Ascites",Ascites,Chemistry,1749-1
37,50836,"Amylase, Ascites",Ascites,Chemistry,1797-0
38,50837,"Bicarbonate, Ascites",Ascites,Chemistry,54360-3
39,50838,"Bilirubin, Total, Ascites",Ascites,Chemistry,14422-0
40,50839,"Chloride, Ascites",Ascites,Chemistry,33366-6
41,50840,"Cholesterol, Ascites",Ascites,Chemistry,14441-0
42,50841,"Creatinine, Ascites",Ascites,Chemistry,12191-3
43,50842,"Glucose, Ascites",Ascites,Chemistry,2347-3
44,50843,"Lactate Dehydrogenase, Ascites",Ascites,Chemistry,2531-2
45,50844,"Lipase, Ascites",Ascites,Chemistry,32722-1
46,50845,"Miscellaneous, Ascites",Ascites,Chemistry,
47,50846,"Osmolality, Ascites",Ascites,Chemistry,2691-4
48,50847,"Potassium, Ascites",Ascites,Chemistry,49789-1
49,50848,"Sodium, Ascites",Ascites,Chemistry,49790-9
50,50849,"Total Protein, Ascites",Ascites,Chemistry,2883-7
51,50850,"Triglycerides, Ascites",Ascites,Chemistry,14447-7
52,50851,"Urea Nitrogen, Ascites",Ascites,Chemistry,12265-5
53,50852,% Hemoglobin A1c,Blood,Chemistry,4548-4
54,50853,25-OH Vitamin D,Blood,Chemistry,
55,50854,Absolute A1c,Blood,Chemistry,4548-4
56,50855,Absolute Hemoglobin,Blood,Chemistry,718-7
57,50856,Acetaminophen,Blood,Chemistry,3297-9
58,50857,Acetone,Blood,Chemistry,5567-3
59,50858,Acid Phosphatase,Blood,Chemistry,1715-2
60,50859,"Acid Phosphatase, Non-Prostatic",Blood,Chemistry,
61,50860,"AFP, Maternal Screen",Blood,Chemistry,
62,50861,Alanine Aminotransferase (ALT),Blood,Chemistry,1742-6
63,50862,Albumin,Blood,Chemistry,1751-7
64,50863,Alkaline Phosphatase,Blood,Chemistry,6768-6
65,50864,Alpha-Fetoprotein,Blood,Chemistry,1834-1
66,50865,Amikacin,Blood,Chemistry,
67,50866,Ammonia,Blood,Chemistry,16362-6
68,50867,Amylase,Blood,Chemistry,1798-8
69,50868,Anion Gap,Blood,Chemistry,1863-0
70,50869,Anti-DGP (IgA/IgG),Blood,Chemistry,
71,50870,"Anti-Gliadin Antibody, IgA",Blood,Chemistry,7893-1
72,50871,Anti-Mitochondrial Antibody,Blood,Chemistry,14236-4
73,50872,Anti-Neutrophil Cytoplasmic Antibody,Blood,Chemistry,35279-9
74,50873,Anti-Nuclear Antibody,Blood,Chemistry,5047-6
75,50874,"Anti-Nuclear Antibody, Titer",Blood,Chemistry,8061-4
76,50875,Anti-Parietal Cell Antibody,Blood,Chemistry,26969-6
77,50876,Anti-Smooth Muscle Antibody,Blood,Chemistry,14252-1
78,50877,Anti-Thyroglobulin Antibodies,Blood,Chemistry,5380-1
79,50878,Asparate Aminotransferase (AST),Blood,Chemistry,1920-8
80,50879,Barbiturate Screen,Blood,Chemistry,3376-1
81,50880,Benzodiazepine Screen,Blood,Chemistry,42662-7
82,50881,Beta-2 Microglobulin,Blood,Chemistry,32731-2
