"icd10cm","icd9cm","flags","approximate","no_map","combination","scenario","choice_list"
"A000","0010","00000",0,0,0,0,0
"A001","0011","00000",0,0,0,0,0
"A009","0019","00000",0,0,0,0,0
"A0100","0020","10000",1,0,0,0,0
"A0101","0020","10000",1,0,0,0,0
"A0102","0020","10000",1,0,0,0,0
"A0103","0020","10000",1,0,0,0,0
"A0104","0020","10000",1,0,0,0,0
"A0105","0020","10000",1,0,0,0,0
"A0109","0020","10000",1,0,0,0,0
"A011","0021","00000",0,0,0,0,0
"A012","0022","00000",0,0,0,0,0
"A013","0023","00000",0,0,0,0,0
"A014","0029","00000",0,0,0,0,0
"A020","0030","00000",0,0,0,0,0
"A021","0031","10111",1,0,1,1,1
"A021","99591","10112",1,0,1,1,2
"A0220","00320","00000",0,0,0,0,0
"A0221","00321","00000",0,0,0,0,0
"A0222","00322","00000",0,0,0,0,0
"A0223","00323","00000",0,0,0,0,0
"A0224","00324","00000",0,0,0,0,0
"A0225","00329","10000",1,0,0,0,0
"A0229","00329","10000",1,0,0,0,0
"A028","0038","00000",0,0,0,0,0
"A029","0039","00000",0,0,0,0,0
"A030","0040","00000",0,0,0,0,0
"A031","0041","00000",0,0,0,0,0
"A032","0042","00000",0,0,0,0,0
"A033","0043","00000",0,0,0,0,0
"A038","0048","00000",0,0,0,0,0
"A039","0049","00000",0,0,0,0,0
"A040","00801","00000",0,0,0,0,0
"A041","00802","00000",0,0,0,0,0
"A042","00803","00000",0,0,0,0,0
"A043","00804","00000",0,0,0,0,0
"A044","00800","10000",1,0,0,0,0
"A044","00809","10000",1,0,0,0,0
"A045","00843","00000",0,0,0,0,0
"A046","00844","00000",0,0,0,0,0
"A047","00845","00000",0,0,0,0,0
"A048","0082","10000",1,0,0,0,0
"A048","00841","10000",1,0,0,0,0
"A048","00849","10000",1,0,0,0,0
"A049","0085","00000",0,0,0,0,0
"A050","0050","00000",0,0,0,0,0
"A051","0051","00000",0,0,0,0,0
"A052","0052","00000",0,0,0,0,0
"A053","0054","00000",0,0,0,0,0
"A054","00589","10000",1,0,0,0,0
